,ID,Conversation.ID,Text,Movie.Title,Movie.ID,Release.Year,Genre,Formal/Informal
767,767,L5404,"A weapon against evil.  Amazing!  I am going to be famous., Then let us toast to your fame!  Here Billy.., ",the fifth element,m5,1997,"['action', 'adventure', 'romance', 'sci-fi', 'thriller']",formal
1727,1727,L30510,"I don't think you understand me, Court Composer., Majesty, I did. Believe me, it was a most agonizing. decision. But finally, I simply could not recommend Herr Mozart., Why not?, Well, Sire, I made some inquiries in a routine way. I was curious to know why he had so few pupils. It is rather alarming., Oh?, ",amadeus,m16,1984,"['biography', 'drama', 'music']",formal
1728,1728,L30369,"An interesting idea, Majesty. But -, Yes?, You already commissioned an opera from Mozart., And the result satisfies., Yes, of course. My concern is to protect you from any suspicion of favouritism., Ah-ha. Favouritism. But I so want Mozart., I'm sure there is a way, Majesty. Some kind of a little contest. I could perhaps put together a small Committee, and I could see to it naturally that it will select according to Your Majesty's wishes., You please me, Court Composer. A very clever idea., Sire., Well. There it is., ",amadeus,m16,1984,"['biography', 'drama', 'music']",formal
1731,1731,L30202,"Well, I'm glad to hear that., Excuse me, Sire, but what do you think these could be? Being a foreigner, I would love to learn., Cattivo again, Court Composer. Well, tell him, Mozart. Name us a German virtue., ",amadeus,m16,1984,"['biography', 'drama', 'music']",formal
1734,1734,L30152,"Delightful, Court Composer. Would you permit me to play it as he comes in?, You do me too much honour, Sire., Let's have some fun.  Bring in Herr Mozart, please. But slowly, slowly. I need a minute to practice., ",amadeus,m16,1984,"['biography', 'drama', 'music']",formal
1737,1737,L30831,"Forgive me, Majesty. I'm a vulgar man. But I assure you, my music is not., You are passionate, Mozart! But you do not persuade., Sire, the whole opera is finished. Do you know how much work went into it?, ",amadeus,m16,1984,"['biography', 'drama', 'music']",formal
1738,1738,L30815,"But, Majesty, this is just a frolic. It's a piece about love., Ah, love again., But it's new, it's entirely new. It's so new, people will go mad for it. For example, I have a scene in the second act - it starts as a duet, just a man and wife quarreling. Suddenly the wife's scheming little maid comes in unexpectedly - a very funny situation. Duet turns into trio. Then the husband's equally screaming valet comes in. Trio turns into quartet. Then a stupid old gardener - quartet becomes quintet, and so on.  On and on, sextet, septet, octet! How long do you think I can sustain that?, I have no idea., Guess! Guess, Majesty. Imagine the longest time such a thing could last, then double it., Well, six or seven minutes! maybe eight!, Twenty, sire! How about twenty? Twenty minutes of continuous music. No recitatives., ",amadeus,m16,1984,"['biography', 'drama', 'music']",formal
1739,1739,L30812,"Mozart, I am a tolerant man. I do not censor things lightly. When I do, I have good reason. Figaro is a bad play. It stirs up hatred between the classes. In France it has caused nothing but bitterness. My own dear sister Antoinette writes me that she is beginning to be frightened of her own people. I do not wish to see the same fears starting here., Sire, I swear to Your Majesty, there's nothing like that in the story. I have taken out everything that could give offense. I hate politics., I think you are rather innocent, my friend. In these dangerous times I cannot afford to provoke our nobles or our people simply over a theatre piece., ",amadeus,m16,1984,"['biography', 'drama', 'music']",formal
1740,1740,L30802,"Mozart, are you aware I have declared the French play of Figaro unsuitable for our theatre?, Yes, Sire., Yet we hear you are making an opera from it. Is this true?, Who told you this, Majesty?, It is not your place to ask questions. Is it true?, Well, yes, I admit it is., Would you tell me why?, Well, Majesty, it is only a comedy., ",amadeus,m16,1984,"['biography', 'drama', 'music']",formal
1742,1742,L30761,"Bravo, Mozart. Most charming. Yes, indeed. Clever man., Thank you, Sire!, ",amadeus,m16,1984,"['biography', 'drama', 'music']",formal
1749,1749,L30211,"Keep it, Sire, if you want to. It is already here in my head., What? On one hearing only?, I think so, Sire, yes., ",amadeus,m16,1984,"['biography', 'drama', 'music']",formal
1826,1826,L30205,"Love, Sire!, Ah, love! Well of course in Italy we know nothing about that., ",amadeus,m16,1984,"['biography', 'drama', 'music']",formal
1838,1838,L30822,"Mozart -, Sire, only opera can do this. In a play, if more than one person speaks at the same time, it's just noise. No one can understand a word. But with music, with music you can have twenty individuals all talking at once, and it's not noise - it's a perfect harmony. Isn't that marvelous?, Mozart, music is not the issue here. No one doubts your talent. It is your judgment of literature that's in question. Even with the politics taken out, this thing would still remain a vulgar farce. Why waste your spirit on such rubbish?  Surely you can choose more elevated themes?, Elevated? What does that mean? Elevated! The only thing a man should elevate is - oh, excuse me. I'm sorry. I'm stupid. But I am fed up to the teeth with elevated things! Old dead legends! How can we go on forever writing about gods and legends?, Because they do. They go on forever - at least what they represent. The eternal in us, not the ephemeral. Opera is here to ennoble us. You and me, just as much as His Majesty., ",amadeus,m16,1984,"['biography', 'drama', 'music']",formal
1856,1856,L30182,"Well, actually, Sire, if you remember, we did finally incline to Italian., Did we?, ",amadeus,m16,1984,"['biography', 'drama', 'music']",formal
1882,1882,L32083,"I am going to the cops. There's a full moon tonight. Jack was right. I..., Jack is dead!, Jack is dead. Look, six people have been killed. I'm going to the police., ",an american werewolf in london,m17,1981,"['horror', 'romance']",formal
1897,1897,L31723,"How old are you?, That's not really a very proper question., How old are you?, Twenty-eight., I'm twenty-seven., I know., Now what do you want to talk about?, Was Jack Goodman your good friend?, My best friend. My very best friend., Shall I read to you?, What? Oh, yes, please., A Connecticut Yankee in King Arthur's Court by Samuel L. Clemens. This is after the preface but before chapter one: A Word of Explanation. You all right?, Yes, go on., Ahem, A Word of Explanation. It was in Warwick Castle that I came across the curious stranger whom I am going to talk about. He attracted me by three things: his candid simplicity, his marvelous familiarity with ancient armor, and the restfulness of his company - for he did all the talking. We fell together as modest people will in the tail of the herd..., ",an american werewolf in london,m17,1981,"['horror', 'romance']",formal
4934,4934,L110286,"No. I have it to ease the suffering of the children of this war., This is what happens when you must send a woman. And a fool., Forgive me, Sire. I thought that generosity might demonstrate your greatness to those you mean to rule., My greatness is better demonstrated with this., ",braveheart,m40,1995,"['action', 'biography', 'drama', 'history', 'war']",formal
5118,5118,L119264,"Now you finish locking up, will you, Carl?, I will. Then I am going to the meeting of the --, -- Don't tell me where you're going., I won't., Goodnight., Goodnight, Monsieur Rick., ",casablanca,m42,1942,"['drama', 'romance', 'war']",formal
6160,6160,L163226,"I was insulted, so I asked her if I was wreaking some wicked b.o., right? Then she said no, she wanted to take a bath with me., Oh, this is terrible... Please go on., Well, she was a very tempting siren, Father. Built like you wouldn't believe. So I gave into temptation about a block away from the wedding reception at this little motel that charges by the hour., ",detroit rock city,m49,1999,"['comedy', 'music']",formal
6430,6430,L172394,"I -- I may be wrong, but I suspect the Secretary of War., Don't bother me - I'm thinking -- What was that?, I said - I suspect the Secretary of War., THIS IS TREASON!!  What a fool I was to listen to your siren song and fall a helpless victim under the insidious spell of your irresistible charms --, But -, You satisfied your selfish whims, while nations tottered, dynasties rocked and the world plunged headlong into a chasm of chaos and oblivion --  Not bad, eh?, ",duck soup,m52,1933,"['comedy', 'musical']",formal
7764,7764,L221713,"I'm sorry. She misunderstood, that's all., But you tell me you had a pleasant visit and your mother says you were sullen and uncommunicative. Whom do you think I should believe?, Doctor, I hate to break this to you, but my mother is a little batty., Frances, you're still filled with anxiety. You feel guilty and hostile toward your family and friends. Consequently, I didn't recommend your release at the staff review., You what?, Mental illness is an elusive thing, and though I'm pleased you're feeling more... capable, it's perhaps unrealistic to expect you to be completely cured after so short a time. Don't you agree?, ",frances,m62,1982,"['biography', 'drama']",formal
9623,9623,L251725,"Mr. McCleery -- do you have some change? I need to use the phone?, I want you out of here., Look -- I'll give you ten dollars for a dime -- I'll give you twenty -- for God's sake, will you let me use that phone?, I am going to call the police now., Could I make one phone call first?, Get out!, ",the graduate,m77,1967,"['comedy', 'drama', 'romance']",formal
10200,10200,L267845,"Honeymoon!  Honeymoon!  Say it: Honeymoon!, It's so--so stark., You used to like it stark!, Just--bang--we have a honeymoon., I'm not going to strike you.  I am going to be as gentle as pie--as lemon meringue pie.  You mustn't run away now.  This is your loving husband approaching.  I'm your husband.  Society approves!, ","happy birthday, wanda june",m82,1971,"['comedy', 'drama']",formal
13056,13056,L327852,"When are you going back to Washington, sir?, I am going back very shortly after we finish this hearing - I am going to have some lunch., Can I make a statement?  If you request me to go back to Washington with you right now, that is if you want to hear further testimony from me, can you do that?  Can you take me with you?, No, that could not be done, Mr. Ruby. There are a good many things involved in that., What are they?, Well, the public attention it would attract.  And we have no place for you there to be safe, we're not law enforcement officials, and many things are at stake in this affair, Mr. Ruby., But if I am eliminated there won't be any way of knowing.  Consequently a whole new form of government is going to take over this country, and I know I won't live to see you another time.  My life is in danger here. Do I sound screwy?, Well I don't know what can be done, Mr. Ruby, because I don't know what you anticipate we will encounter., Then you don't stand a chance, Mr. Chief Justice, you have a lost cause. All I want is a lie detector test, and you refuse to give it to me. Because as it stands now - and the truth serum - how do you pronounce it - Pentothal - whatever it is. They will not give it to me, because I want to tell the truth... And then I want to leave this world., ",jfk,m104,1991,"['biography', 'drama', 'history', 'mystery', 'thriller']",formal
14288,14288,L338296,"Help! Help! I'm drowning!, I doubt it. The water is only an inch deep., It could have been quicksand! I might have been sucked to my death.  Where is this place?, A forest near the Valley of Needles., Blast! A thousand miles off course. Well, I was rushed. There was a certain difference of opinion concerning a venison pie. The foolish man left it sitting on his windowsill. What did he expect?, Perhaps he expected to eat it., For that rudeness, peasant lout, I am going to leave you hanging by your heels when I depart. Which is right now., ",krull,m113,1983,"['fantasy', 'action', 'adventure', 'sci-fi']",formal
14301,14301,L338326,"They stand at the edge of the grave and make jokes.  Do you know who I am, sprout? I am Torquil, Lord of the forest. My men follow no man but me, and I follow no man at all., You will follow me., And in the few seconds before I dice you to crow-food, tell me why I am going to follow you., So your sons will speak of you to your grandsons, and your grandsons to their grandsons., ",krull,m113,1983,"['fantasy', 'action', 'adventure', 'sci-fi']",formal
14820,14820,L346446,"Start acting like you're worthy of this mission... Here.  Whatever you do, don't dare drop it., Nay, Sire, I'll cling to it as to life itself..., Good, lad... Here, Jack, give me a hand with the windlass... There's a good fellow..., ",legend,m118,1985,"['fantasy', 'adventure', 'romance']",formal
15688,15688,L357620,"Yes, of course, your brother is a problem. It was to be expected., I knew you'd understand. That's why I came to you for help., You must not look to me for help. Your brother is no longer my problem. He is now your problem, Conway., Mine?, Because, my son, I am placing in your hands the future and destiny of Shangri-La.  For I am going to die., ",lost horizon,m124,1937,"['adventure', 'drama', 'fantasy', 'mystery']",formal
17569,17569,L393003,"Just for the fun of it.--You see the one that makes it back home in the fastest time, I am going to enter in the nationals., Wonderful!, ",mr. smith goes to washington,m139,1939,['drama'],formal
17640,17640,L396133,"Were you given an assignment to follow the activities of Longfellow Deeds?, Yes., Did you subsequently write a series of articles about him?, Yes!, Are these the articles?, Yes!, Were you present when all these things took place?, Yes!, Are they true!, NO!!, But they did take place?, They're colored! Just to make him look silly!, And you saw them happen?, Yes, but I, That's all, Miss Bennett., It isn't all! I'd like to explain, That's all, Miss Bennett. That's all., ",mr. deeds goes to town,m140,1936,"['comedy', 'romance']",formal
18012,18012,L400835,"O'Connell! I am going to kill you for this!, Sounds familiar., ",the mummy,m142,1999,"['action', 'adventure', 'fantasy']",formal
18238,18238,L406609,"But, sire, Your Majesty would lay Paris open to being sacked.  The enemy is outside the gates with more than 120,000 men.  Besides this, I left the city under the terms of a treaty and I am forbidden to reenter Paris., A treaty?  Don't be ridiculous. What treaty is this?  Who made it? Who has been giving orders?, I don't know the details of the treaty, sire, Marshal Mortier sent me word of its having been agreed to, and he said that I was to take the army and make for Fontainebleau., But who made this treaty?, I believe it was arranged by Marshals Mortier and Marmont.  I must explain to you that we have had no orders all day.  Each marshal has been keeping his own position., Who sent my wife and son out of Paris?, I don't know, sire., And where is Joseph?, I don't know what has happened to Prince Joseph., What cowardice!  What treason! Joseph has ruined everything.  How could they all lose their heads. They knew I was coming up fast. Victory was just within grasp. Come, come, turn your troops around, General Belliard., ",napoleon,m144,1995,"['family', 'adventure']",formal
18239,18239,L406596,"Well, Belliard, what's this?  What are you doing here?  Where is the enemy?, They are at the gates of Paris, sire., And where is the army?, It is on this road, sire, following me., And who is defending Paris?, Paris is evacuated, sire.  The enemy is to enter at nine o'clock tomorrow morning.  The National Guard is on duty at the gates., Paris has surrendered?!  I don't believe it., Unhappily, it is true, sire., But where are my wife and son? What's become of them?  Where is Marmont?  Where is Mortier?, The Empress, your son and the whole court left two days ago for Rambouillet.  Marshals Mortier and Marmont are probably still in Paris, completing the arrangements., ",napoleon,m144,1995,"['family', 'adventure']",formal
18240,18240,L406700,"Who is there?, Bertrand, sire., I have just had the most vivid... dream... about Josephine., Yes, sire?, She was sitting there... and it was as if I had last seen her only the night before... She hadn't changed -- she was still the same -- still completely devoted to me... and she told me we were going to see each other again and, never again, leave each other... She has promised me. Did you see her?, No, sire... I was asleep., I wanted to kiss her, but she didn't want to kiss me... She slipped away, the moment I wanted to take her in my arms., ",napoleon,m144,1995,"['family', 'adventure']",formal
18241,18241,L406635,"But did she have the best doctors? Wasn't there any chance at all to save her?, I don't know, sire -- she had the Tsar's personal physician., She should have had Larrey or Corvisart.  They might have saved her... But why didn't anyone even write to me?  Can you believe that no one even bothered to write to me? Would you have believed that I should read such news in a newspaper?  How incredible!, That is incredible., Ah, my poor Josephine.  She was the most alluring, most glamorous creature I have ever known -- a woman in every sense of the word, and she had the kindest heart in the world.  She may have been a liar and a spendthrift, but she had something that was irresistible -- she was a women to her very fingertips... How impossible it is to believe that she is dead., I have never heard an unkind word about her spoken., I suppose I might blame her for opening her house to the men most responsible to my downfall, but how can I?  She was on her own again, she had to look after her own affairs, and how can one blame her for having her head turned by the attention of Kings?, ",napoleon,m144,1995,"['family', 'adventure']",formal
18883,18883,L419675,"But, darling, you can't do that., Comrades! Good people of France!, Now, Ninotchka... please!, They are all Duchesses here... thousands of Duchesses... and I am going to tell them., ",ninotchka,m149,1939,"['comedy', 'romance']",formal
22610,22610,L504372,"I am going to get my nut on this trip, Miles. And you are not going to fuck it up for me with all your depression and anxiety and neg-head downer shit., Ooooh, now the cards are on the table., Yes they are. And I'm serious. Do not fuck with me. I am going to get laid before I settle down on Saturday. Do you read me?, Sure, big guy. Whatever you say. It's your party. I'm sorry I'm in the way and dragging you down. Maybe you'd have a better time on your own. You take the car. I'll catch the train back., No, see, I want both of us to get crazy. We should both be cutting loose. I mean, this is our last chance. This is our week! It should be something we share., ",sideways,m178,2004,"['comedy', 'drama', 'romance']",formal
23006,23006,L507274,"See beyond that irrational allegiance to flesh and blood. -- See that with the rise in price of a real actor and the fall in price of a fake, the scales have tipped in favor of the fake.  -- See that if the performance is genuine, it doesn't matter if the actor is real.  Once a performance is committed to film, the blood and bones are gone anyway.  Only the spirit, the illusion remains. Besides, what's real anymore? These days most actors have digital work done to them so it's a gray area., Are you ever going to tell the truth about me, Mr. Taransky?, The only real truth is in the work., You know what I'm talking about., Yes.  Yes, I'm going to tell the truth about you, why wouldn't I...?  Of course, with Hank's tragic passing, the secret died with him.  I am going to tell the truth... after your next picture., ",simone,m181,2010,"['short', 'drama', 'horror', 'thriller']",formal
23453,23453,L518233,"They shouldn't let people like you into space., Just so you know: I'm not going back until I understand what it is.  I am going to figure out what it is, make it stop, and then I will go home., Listen --, We're done.  Oh, I should tell you, I don't trust Snow.  There's something wrong with him., ",solaris,m187,2002,"['drama', 'mystery', 'romance', 'sci-fi']",formal
24116,24116,L535200,"David?... David!, Admiral, your young friend is mistaken. I meant what I said. And now, to show my intentions are sincere... I am going to kill one of the prisoners., Wait! Give me a chance --, , ",star trek iii: the search for spock,m192,1984,"['action', 'adventure', 'sci-fi', 'thriller']",formal
24137,24137,L534996,"Commander, these are some of the most famous people in Starfleet! Admiral Kirk, my God!, Good for you, Lieutenant., But it's damn irregular. No destination orders, no encoded i.d..., All true., Well -- what are we going to do about it?!, I am going to do nothing about it. <u>You</u> are going to sit in the closet., The <u>closet</u>?! Have you lost all sense of reality?, This isn't reality. This is fantasy., ",star trek iii: the search for spock,m192,1984,"['action', 'adventure', 'sci-fi', 'thriller']",formal
26999,26999,L584135,"I need to get this letter to someone., I can't take you out of here in your condition..., And I can't stay here in my condition. I am going to die tonight. It's already been decided., No, it hasn't., Yes. [Beat] It has. Everything up 'till today is done. Everything starting with tomorrow is up for grabs., ",the jacket,m215,2005,"['drama', 'fantasy', 'mystery', 'sci-fi', 'thriller']",formal
28295,28295,L630655,"Are you going to see James tonight?, Why are you suddenly so interested in who I am going to see at night? Nighttime is my time., You're telling me, but only because you never let me in on any of it... you're not going to see Bobby, are you?, Maybe., Oh god, Laura., Well, why not?, Because Bobby is a loser, you said so yourself. He's a goon.  James is the one.  He loves you with that ""lasting love""... ""true love""., ",twin peaks: fire walk with me,m224,1992,"['drama', 'horror', 'mystery', 'thriller']",formal
28298,28298,L630610,"If I am going to get through math today, you're going to have to bring me up to speed quick., You didn't do your homework?, Noooo..., Okay, this test is going to be about the theorems I told you about last week. You remember the..., Don't tell me now. Tell me right before the test. I won't be able to remember long enough., You graduating this year will be proof that miracles happen., Thanks., ",twin peaks: fire walk with me,m224,1992,"['drama', 'horror', 'mystery', 'thriller']",formal
28324,28324,L630861,"My god, I am going to have another breakdown. God, god., Mom, take it easy., ",twin peaks: fire walk with me,m224,1992,"['drama', 'horror', 'mystery', 'thriller']",formal
28379,28379,L636953,"It's all right, Mickey., You ruined my life, Mister... Me and my wife... and I am going to ruin yours...  You don't have to go out there to see that girl. We been going four years.  Four years... my wife's been crying herself to sleep what they, what, what they did to her sister., I swear to you I wouldn't have turned the offer down unless I thought that I could win the case..., What you thought!? What you thought... I'm a workingman, I'm trying to get my wife out of town, we hired you, we're paying you, I got to find out from the other side they offered two hundred..., I'm going to win this case... Mist... Mr. Doneghy... I'm going to the Jury with a solid case, a famous doctor as an expert witness, and I'm going to win eight hundred thousand dollars., You guys, you guys, you're all the same. The Doctors at the hospital, you... it's 'What I'm going to do for you'; but you screw up it's 'We did the best that we could. I'm dreadfully sorry...' And people like me live with your mistakes the rest of our lives., ",the verdict,m225,1982,['drama'],formal
32333,32333,L61090,"All I know is you're throwing away an awful lot of money., The future, Marty, the future is everything! I built this machine to see the future. So I am going to send Shemp twenty-four hours into the future. You can assist me, if you like., Sure, he agreed quickly., ",back to the future,m253,1985,"['adventure', 'family', 'sci-fi']",formal
33617,33617,L78740,"All right, you dead people!  Come on out, or we'll break down this door and drag you out on the ropes you hanged yourself with!, Shhhh.  They didn't commit suicide., It doesn't matter.  What matters is I've got a roomful of guests down there, who think I'm a fraud.  I am going to teach you something here Lydia.  You've <u>got</u> to take the right tone in things like this, or people -- whether they're dead or alive -- people will walk all <u>over</u> you.  Come on out, or I will make death so miserable that you will wish you had never <u>lived</u>!, ",beetle juice,m265,1988,"['comedy', 'fantasy']",formal
37252,37252,L127053,"You aren't planning to tell these kids that 'virgin' was tattooed into both Stacy and Rod, are you?, No., Good., But I am going to have to question all of their past boyfriends and girlfriends., Fine, just don't mention the carving This is going to be a tough enough day as it is., ",cherry falls,m294,2000,"['horror', 'mystery', 'thriller']",formal
40513,40513,L164691,"What happened.... Where are you taking him?, I am going to lock him up., You're not supposed to punish my son, Mary., ",the devil and daniel webster,m322,2004,"['comedy', 'drama', 'fantasy']",formal
40686,40686,L167261,"Hello.  Hello, Leon., Hello, Sonny., How are you doing?, Well... I'm out of the hospital., Yeah.  You said... I thought you were never getting out?, I never thought I'd get out this way.  I'll tell you., Well.... huh ..., Ooohh...., Oh... huh ... how you feeling?, I'm really shakey., Well, you know ... Moretti told me before that you were drugged up., Yeah.  It was terrible., That... huh... they just shoot you with drugs., You come in and they say, right away, that you are crazy.  And they start putting things in your arm... you know.  How do they expect you to get uncrazy if you're asleep all the time?, Yeah..., You can't talk or do anything.  You really feel... you know... I'm just sort of coming out of it now., So... that sure is something., Yeah.  So how are you?, Fine, thank you.  I'm in trouble. That is... now I am!, Yeah... I know., I don't know what I'm gonna do... you know.  Boy... I'm dying., What?  What are you talking about? You are dying?  Did you ever listen to yourself when you say that?, What are you talking about?, What do you mean... what am I talking about?  Do you realize that you say that to me every day of your life?  I am dying.  Do you know... do you realize the death that you are spreading around to the people who are around you?, Now don't give me that deep shit now.  Don't start with that shit., No really... I don't think that you realize what it means.  The things that you do, Sonny.  You put a gun to somebody's head..., I don't know what I'm doing., Yeah... obviously you don't... when you put a gun to somebody's head... and you say go to sleep so that it won't hurt when I pull the trigger. Death?  Don't talk about death to me.  I have been living with death for the last six months.  Why do you think I'm in the hospital?  I take a handful of pills to get away from you.  And then here I am out of the hospital talking to you on the phone... again.  I have no friends left.  No job.  I can't live.  I have to live with people. This death business... I'm sorry!, I'm not on the phone to talk to you about that.  Well, I don't know what to say, Leon.  When you gimme that... when you hit me with that shit.  I mean, what am I supposed to say?, I'm sorry..., I told you.  That I got a lot of pressures.  You said to me that you needed money, and I knew that you needed money!  I saw you there lying in the hospital like that... and I said... shit, man, I got to get this guy some money., But I didn't ask you to go rob a bank., All right.  I know you didn't ask me.  You didn't ask me but I did it., Well..., I did it on my own.  I did this all on my own.  I ain't laying it on anybody.  Nothing on anybody.  I'll tell you something, though, it's about time that I squared away my accounts... you know.  I am squaring away my accounts with life.  Maye this whole thing is gonna end, somehow.  Maybe it'll just end! Maybe I'll just close my eyes and the whole fucken thing will be over. That would be all right too!  I said... I thought I would square it away with you... you know?  That I would get you down here and that I would say so long to you... or, if you wanted... you know, to take a trip..., What trip?, I'm getting out of here, man.  I'm not going to stay here and I'm not giving up.  I mean, huh, they're going to kill me, anyway.  So fuck it!  But, if I can get out of this... I am going to get out. And, how I'm going to do it is to get a jet out of here and I'm flying the fuck out... That's all, Leon.  If you want to come with me, then you're entitled... you can come.  You're free to do what you want., I'm free to do what I want?  And you think I would want to go with you some place on a plane?  Where? Where ya going?, I gotta jet coming here and we're gonna try to get the fuck outta this thing.  And we're gonna go, man!, You're crazy., That's it., You're really crazy., I know!, Where you gonna go?, Who the fuck knows?  I think we're gonna go ... we worked it out to Algeria.  So, I don't know.  So I'll go to Algeria., Why you going to Algeria?, Huh ... I don't know.  They got Howard Johnson's there.  I don't know why the fuck I'm going there for., Howard Johnson's... you're warped. You know that?  You're really warped!, I know that.  I'm warped... I'm warped!, God, Algeria!  Do you know there's a bunch of... they walk around there... God!  People walk around with masks and things on their heads.  They're a bunch of crazy people there., What am I supposed to do?, I don't know... you could have picked a better place., Denmark?  Sweden?, I like that... yeah!, Sal wanted to go to Wyoming.  I told him it wasn't a country.  We gotta get outta the country!  To hell with a guy who doesn't know where Wyoming is.  Okay.  Can you imagine what kind of a shape I'm in?, ",dog day afternoon,m324,1975,"['crime', 'drama']",formal
