,ID,Conversation.ID,Text,Movie.Title,Movie.ID,Release.Year,Genre,Tolerance
37117,37117,L126252,"Go on, please -- five men -- $250,000 -- the French Underground --, Yes. The five men. They were, of course, your husband, Charles, the three men who showed up at his funeral yesterday, and Carson Dyle. But something went wrong and they were unable to locate their contact. It must have been at that point that they decided to steal the money., Steal it how?, By burying it, and then reporting that the Germans had captured it. All they had to do was come back after the war, dig it up and split it five ways -- a quarter of a million dollars with no questions asked., May I have a cigarette, please?, ",charade,m293,1963,"['comedy', 'mystery', 'romance', 'thriller']",intolerant
38580,38580,L142880,"Page after page of data -- over sixty-three thousand in all, if I'm not mistaken... and at the end of each..., A page-break signal.  A period., Not if you think like a Vegan., You're saying... there is no separate primer in the message -- because it's on every page so the recipient can decipher it wherever he is --, -- even if he doesn't receive the entire transmission.  Heaven is the mustard seed., ",contact,m304,1997,"['drama', 'mystery', 'sci-fi', 'thriller']",intolerant
44633,44633,L220422,"Oh, that!  Don't take it personally. He always wakes up before I do. Down boy!  Roseanne Barr naked!, Who's your decorator?, Some fag.  Charged me up the ass., Fag?  Ass?  I'm sorry, is that a joke?, Poor taste.  I know.  Listen, I respect homosexuals.  When I was young, my maid was a homosexual.  My maid was a homosexual., I don't have a sense of humor, either.  Sorry., ",the adventures of ford fairlane,m356,1990,"['action', 'adventure', 'comedy', 'music']",intolerant
50946,50946,L332764,"I can't wait to hear your opening argument.	""Ladies and Gentlemen	of the Jury... the Defense will prove that Jason Voorhees did not kill all of these people. They, in fact, committed mass suicide and then buried themselves in his back yard..."", Fuck you., ",freddy vs. jason,m412,2003,"['horror', 'thriller']",intolerant
55685,55685,L407685,"My problem Mickey, is that you don't exactly inspire empathy. I'm all alone on this. I need your help. I want what the prison board is doing to be the focus of our follow up episode. Now I have interviews with chairman of the prison board Dewight McClusky about this issue. And I'm tellin' ya, Mickey, he looks bad. The two psychologists they used for their psychiatric kangaroo court won't talk to us, which always looks bad. I have an interview with both the judge of your trial, Bert Steinsma, and the psychologist and author, Emil Reinghold, both of which discount the notion that you're insane. You put that all together, and what the state is doing becomes obvious. But the network isn't satisfied. They feel the show needs another element. It needs you. In order to put the show on the air, I need to get an interview with you. You haven't talked to the press since your trial. Now, a few days before you get transferred to an asylum, you grant an interview on television with Wayne Gayle. We're talkin' a media event here. Every son of a bitch out the with a TV set's gonna tune in to see that. We'll make their motives so blatant, we'll shame 'em into dropping the whole thing. At least for a little while, the publicity would keep them from just giving you and Mallory lobotomies. Well, whatta ya say?, Have you talked to Mallory about this?, She won't even see me, Mickey. Now you're not supposed to know anything about what's going on with her, but I'm gonna tell ya somethin'. Since you two've been sentenced, Mallory hasn't spoken one word., She doesn't talk?, Not to anybody. She sings., She sings? What does she sing?, Songs. 'He's A Rebel', 'Leader Of The Pack', 'Town Without Pity', that Dusty Springfield song 'I Only Want To Be With You'. That's what I hear anyway. Her behaviour was the main thing the doctors' report used against you. So even if she would see me, which she won't, I couldn't put her on camera anyway. If I ask her, 'Mallory, are you insane?' And she starts singing 'Dead Skunk In The Middle Of The Road', that blows our whole case., ",natural born killers,m454,1994,"['action', 'crime', 'drama', 'romance', 'thriller']",intolerant
67410,67410,L580579,"You'd be shit out of luck if not for me. You saw what you saw because I led you to it. I'm putting my ass on the line for you., Your ass? I just got chased across Texas by two black helicopters., And why do you think it is you're standing here talking to me? These people don't make mistakes, Agent Mulder., ",the x files,m556,1998,"['crime', 'horror', 'mystery', 'sci-fi', 'thriller']",intolerant
69114,69114,L609715,"If all we wanted was the map out of you we could have taken it while you were standing on that mine pissing on yourself., Probably would've too if Epps wasn't around to stop you., ",three kings,m570,1999,"['action', 'adventure', 'comedy', 'drama', 'war']",intolerant
72666,72666,L648549,"Does Norman know?, Jody, she's alive., What?, Mrs. Feur.  She's alive.  I met her. She's really sweet., Then what was it?, Nothing.  It wasn't anything.  I've been on edge lately.  Maybe since the accident. And I'd prefer, I really would, to just--, Something was there.  You saw it., Did I?, Yes.  Now I talked to Sela and there's a guy, this Pakistani guy down in Hartford..., Hartford?, And he's the real thing.  Specializes in cases like this, like yours., No.  Jody, listen to me.  You have to listen to me.  This is not something that I can do right now.  Whatever it was, it's gone.  I need it to be gone now., But Claire--, Please., ",what lies beneath,m601,2000,"['drama', 'horror', 'mystery', 'thriller']",intolerant
3,3,L862,"do you listen to this crap?, What crap?, Me.  This endless ...blonde babble. I'm like, boring myself., Thank God!  If I had to hear one more story about your coiffure..., ",10 things i hate about you,m0,1999,"['comedy', 'romance']",intolerant
3177,3177,L62922,"I strongly feel that a Negro should direct this.  This kind of satire is a high wire act in a gale storm. One misstep and we're doing ""Amos and Andy.""  Only a Negro will have the sensitivity and cultural awareness to navigate this dangerous terrain., To hire someone solely on their ethnicity, gender or religion is not right.  It's un-American.  I will hire someone who is most qualified for this particular job., ",bamboozled,m27,2000,"['comedy', 'drama', 'music']",intolerant
31810,31810,L51390,"How do you write women so well?, I think of a man and take away reason and accountability., ",as good as it gets,m249,1997,"['comedy', 'drama', 'romance']",intolerant
33999,33999,L85210,"I know my rights., You don't know shit, Lebowski., I want a fucking lawyer, man.  I want Bill Kunstler., What are you, some kind of sad-assed refugee from the fucking sixties?, Uh-huh., Mr. Treehorn tells us that he had to eject you from his garden party, that you were drunk and abusive., That guy treats women like objects, man., Mr. Treehorn draws a lot of water in this town, Lebowski.  You don't draw shit.  We got a nice quiet beach community here, and I aim to keep it nice and quiet.  So let me make something plain.  I don't like you sucking around bothering our citizens, Lebowski.  I don't like your jerk- off name, I don't like your jerk-off face, I don't like your jerk- off behavior, and I don't like you, jerk- off --do I make myself clear?, ",the big lebowski,m269,1998,"['comedy', 'crime', 'mystery']",intolerant
56245,56245,L417183,"I'm Will Stanton, and um...I've had a little accident, as you can see., Accident my ass.  I thought this was supposed to be straight talk in here., ",a nightmare on elm street 3: dream warriors,m461,1987,"['fantasy', 'horror', 'thriller']",intolerant
56246,56246,L422762,"Lovely to meet you., And you.  I'll wait till you've gone before I tell him you're a vegetarian., ",notting hill,m462,1999,"['comedy', 'romance']",intolerant
56361,56361,L423235,"Absolutely.  Never trust a vegetarian., Great.  Excellent.  Thanks., ",notting hill,m462,1999,"['comedy', 'romance']",intolerant
65031,65031,L550300,"Marty, ignore him., He's vegetarian, doesn't do sports..., ",storytelling,m534,2001,"['comedy', 'drama']",intolerant
1294,1294,L17395,"Twenty five minutes. They should be here any moment., They better. Fuel's almost gone., ",air force one,m11,1997,"['action', 'drama', 'thriller']",neutral
1748,1748,L30270,"It is new, it is, isn't it, Sire?, Yes, indeed., And German?, Oh, yes. Absolutely. German. Unquestionably!, So then you like it? You really like it, Your Majesty?, Of course I do. It's very good. Of course now and then - just now and then - it gets a touch elaborate., What do you mean, Sire?, Well, I mean occasionally it seems to have, how shall one say?  How shall one say, Director?, ",amadeus,m16,1984,"['biography', 'drama', 'music']",neutral
2223,2223,L35751,"She's still talking to Jesus., What worries me is that Jesus is talking back., ",american outlaws,m19,2001,"['action', 'western']",neutral
2980,2980,L60315,"Jesus, it's too damn bright in here... Like a goddamn spotlight... I'm goin' blind..., This?, Yeah... too bright..., ",backdraft,m25,1991,"['action', 'crime', 'drama', 'mystery', 'thriller']",neutral
6701,6701,L194393,"I don't know, honey. It's horrible., She's punishing me for being honest. I should just go to her house., ",eternal sunshine of the spotless mind,m55,2004,"['drama', 'romance', 'sci-fi']",neutral
7410,7410,L206887,"Are you sure there's nothing else I can bring you?, I'll have one more Coke... Do you want another Coke, Stacy?, ",fast times at ridgemont high,m59,1982,"['comedy', 'drama', 'romance']",neutral
8086,8086,L241997,"So why are you telling me this?, Big symbols make big targets, Jordan.  I think someone's gunning for you., You know, Royce, I got enough heat on me without you turning up the jets, too., I'm only trying to warn you in case --, Well, let me warm you:  I'm going though with this.  The more everybody fucks with me, fucks with my head, the more it just makes me want to finish.  So don't expect me back crying in your arms any time soon, okay?, That's not what I want, Jordan.  I mean... it is and it isn't..., Still can't make up your mind, huh? Gotta go, Royce., Jordan.  You watch your ass., Sure.  I'll join the crowd., ",g.i. jane,m66,1997,"['action', 'drama']",neutral
8125,8125,L241804,"Anybody usin' these drawers here?, Hey, hey, HEY.  No possibility.  You can't stay in here.  You can't sleep right next to me., Funny, the C.O. says I can., ",g.i. jane,m66,1997,"['action', 'drama']",neutral
8676,8676,L233427,"But you won't know where I am. I don't even know where I'll be., I'll find you, Leo..., ",get shorty,m70,1995,"['comedy', 'crime', 'thriller']",neutral
9707,9707,L251036,"Well why do you -- why do you think that?, Because I know you don't drive around for twelve hours., Oh. Well, I don't. Shall I tell you what I do?, Not if you don't want to., I do., But I don't want you to make up something., I'm not. But I'm -- I'm not very proud of what I do. I usually get kind of drunk. I usually drive over to Los Angeles and go to some bars and get kind of drunk. Then I take a hotel room. So I won't have to drive home on the freeway. I mean it kind of scares me to drive home after --, Goodnight, Benjamin., You believe me, don't you?, No., You don't?, ",the graduate,m77,1967,"['comedy', 'drama', 'romance']",neutral
10739,10739,L279599,"Fine by me.  I still want pay to 7 o'clock., Ha., ",high fidelity,m88,2000,"['comedy', 'drama', 'music', 'romance']",neutral
10874,10874,L279975,"We saw this ad in the personals for two swingers lookin' for a Renaissance fair., Nice., What's the name of your label?, ",high fidelity,m88,2000,"['comedy', 'drama', 'music', 'romance']",neutral
12433,12433,L303948,"What does that do?, What do you mean, what's it do?, What I mean is, like, how does it cut through the confidentiality agreement?, Because he has to reveal it in a court of law. It's on record, it's out. It's no secret anymore. So how can they restrain his speech or retaliate? It's out in the world..., ",the insider,m101,1999,"['biography', 'drama', 'thriller']",neutral
15001,15001,L349039,"What kind of house?, You know what mortise and tenon is?, ",life as a house,m119,2001,"['drama', 'romance']",neutral
15805,15805,L381865,"Something's wrong here., Gee.  You really think?, Jeebs is eager to have me deport him. But would rather kill himself than go downtown. Why?, I dunno. Why did that family need all their luggage for a dinner?., Why did Mikey leave Nazca?, And what's this ... ?, What?, ",men in black,m125,1997,"['action', 'adventure', 'comedy', 'sci-fi']",neutral
18530,18530,L412807,"That's pretty good., I've done much better ones than this., You have, huh?, Oh, yes. I'll show you. I have much more colors at home., That's good.  That's good, sweetie pie., ",nick of time,m146,1995,"['crime', 'drama', 'thriller']",neutral
18834,18834,L418990,"We don't want to be disturbed., My name is Count d'Algout. I telephoned., If you want to see us you must come later., I just want a word with Monsieur Mercier., But you can't..., ",ninotchka,m149,1939,"['comedy', 'romance']",neutral
20076,20076,L439850,"Ellie--, And I'm going to eat his breakfast cereal, too, even though it tastes like boogers. And...and..., ",pet sematary,m158,1989,"['drama', 'fantasy', 'horror', 'mystery', 'thriller']",neutral
20214,20214,L441649,"Elizabeth, this is hardly appropriate --, About the day we met. Do you remember?, ",pirates of the caribbean,m159,2003,"['adventure', 'fantasy', 'horror']",neutral
20769,20769,L447575,"Um--hello? I've got like a social emergency here., Remember the one where Bud lost his cousin when he was s'posed to be watching him?, ",pleasantville,m162,1998,"['comedy', 'drama', 'fantasy']",neutral
21259,21259,L461343,"A Federal offense., Get back there! He'll see you!, ",rear window,m167,1954,"['crime', 'mystery', 'romance', 'thriller']",neutral
21283,21283,L461731,"Something's in there. Those flowers have been taken up, and put back again., It could be -- the knife, and the saw., ",rear window,m167,1954,"['crime', 'mystery', 'romance', 'thriller']",neutral
21590,21590,L464350,"Mister. I'm begging, 'kay? I'm begging. This is not some card club, 'kay? This is the Tomahawk. We're an international gaming destination. We're in guidebooks. You can't do this... you can't do this to me..., Show's over., ",reindeer games,m169,2000,"['action', 'crime', 'drama', 'thriller']",neutral
22657,22657,L504587,"You got kids?, Who me? Nah, I'd just fuck them up. That was the one unpolluted part of my divorce -- no kids., Yeah, same here., ",sideways,m178,2004,"['comedy', 'drama', 'romance']",neutral
22713,22713,L505724,"He's been like that for awhile. We need to get him some medicine., Have they said anything about our area?, Philadelphia and its outlying counties are cleared, but who knows for sure?, ",signs,m179,2002,"['drama', 'mystery', 'sci-fi', 'thriller']",neutral
24209,24209,L534309,"Kirk! Kirk, you are still alive -- my old friend..., Still, 'old friend.' You've managed to kill just about everyone else, but like a poor marksman, you keep missing the target., Perhaps I no longer need to try., ",star trek: the wrath of khan,m193,1982,"['action', 'adventure', 'sci-fi', 'thriller']",neutral
24651,24651,L540178,"Your diagnostics are in error. I need weapons., The problem must lie in the interface between Starfleet and Borg technology. Your console may not be configured to handle the data flow., Can you configure it?, I believe so., Do it., ",star trek: first contact,m196,1996,"['action', 'adventure', 'sci-fi', 'thriller']",neutral
25105,25105,L543165,"Food. Eat. I prepare food. I work as a cook. That's how I make money., I understand., What do you do?, I make maps., Hey, that sounds interesting. You like it?, Eh... yes., Make any money?, No., You don't get rich as a cook, either, believe me. I got a girl going to college this fall. The wife had to go back to nursing to help pay for it., ",starman,m199,1984,"['adventure', 'drama', 'romance', 'sci-fi']",neutral
26518,26518,L591676,"Come on, Bobby. Time to go to bed., Mom -- why does Mr. Carpenter have to go down to the police station?, I -- I don't know, dear... Perhaps there's some mistake., ",the day the earth stood still,m211,2008,"['drama', 'sci-fi', 'thriller']",neutral
27736,27736,L618730,"Lieutenant... Is there... a Russian attack?, No sir! But you have to be ready., ",top gun,m220,1986,"['action', 'drama', 'romance']",neutral
28169,28169,L626207,"But why would a guy would do that? Paint black teardrops on his face?, I guess he... wanted you to think he was... somebody he wasn't., But why?, Maybe... because someone's afraid., Afraid of what?, I don't know. The truth, maybe., -- About what?, About Chinatown. What went down., What went down?, You tell me, man., No. You tell me, Shu., How can I tell you what I don't know!, You can't. So tell me what you do know -- say it!, I don't know shit, man! Goddammit --, Well I know that you're innocent, Shu -- even if you forgot., ",true believer,m223,1989,"['drama', 'crime']",neutral
29305,29305,L10233,"Need some help?, Thanks.  No, I can handle it.  Bud... there won't be enough to run the heaters.  In a couple hours this place is going to be as cold as a meat locker., What about O-2?, Brace yourself.  We've got about 12 hours worth if we close off the sections we're not using., The storm's gonna last longer than 12 hours., I can extend that.  There's some storage tanks outboard on the wrecked module.  I'll have to go outside to tie onto them., ",the abyss,m232,1989,"['action', 'adventure', 'drama', 'sci-fi', 'thriller']",neutral
30614,30614,L38954,"Face it boyfriend. This is really happening., No it isn't! You're dead!, ",an american werewolf in paris,m241,1997,"['horror', 'romance', 'thriller', 'comedy']",neutral
31868,31868,L52548,"He can't.  The bank has an expensive security system; metal detectors and X-ray machines., That means you won't have a gun., That's right., And with the mikes, I'll tell you when he leaves the hotel and you'll tell me when he leaves the bank., If things go well, I don't have to. You'll already be in a rented car waiting for me., You'll have the money.  How do I know that you won't --, I'll be walking out of the bank, unarmed.  You'll have the gun and I'll drive the car., We split the money?, Five million apiece.  You get on your plane, I get on mine., Sounds pretty well figured out., I've been thinking about it for a long time., Except --, What?, Except, if he doesn't come out of the hotel., I told you, he will., You can't know for sure, how can you?  I mean, you're not him., I was., ",assassins,m250,1995,"['action', 'thriller', 'crime']",neutral
33539,33539,L79033,"So can I?, Uh-uh.  Only if you got <u>above</u> a C on science., Oh puh-leeze!, ",beetle juice,m265,1988,"['comedy', 'fantasy']",neutral
33737,33737,L80913,"I feel very good in here., Sure you do. This ward is air tight, I have a little extra oxygen pumped in, keeps my spirits up., Yes. I like that very much., ",being there,m266,1979,"['drama', 'comedy']",neutral
33811,33811,L81109,"No, she flew up to Boston for another charity event. She'll be sorry to have missed you., I'm sorry, too. Well, Nancy wanted me to send along her best to the two of you - and, Ben, I want to thank you for your time and thoughts., Nonsense, Mr. President - I thank you for coming to spend time with a dying man., Now, Ben, I won't have any of that. Why don't you listen to your good friend Chauncey this is a time to think of life!, ",being there,m266,1979,"['drama', 'comedy']",neutral
33914,33914,L82692,"Yes, hello, I wanted to place an ad.  Hi, are you Craig's wife?, Yes, Hi., ",being john malkovich,m267,1999,"['comedy', 'drama', 'fantasy', 'romance']",neutral
36089,36089,L115836,"I didn't say it was a bad idea, I just said the timing was off.  We could maybe wait till later., Don't be such a fraidy-cat., Who's afraid?  Besides me, I mean., We've come all this way.  We just have to check it out.  I got a hunch., You're the boss, boss.  I just thought maybe we should wait., ",buffy the vampire slayer,m287,1992,"['horror', 'comedy', 'action']",neutral
36618,36618,L120481,"Fine. Everything's goin' good., ...to a tee. Like the time Tony Dogs..., ",casino,m289,1995,"['biography', 'crime', 'drama']",neutral
38132,38132,L137404,"We have to get through to the other side.  You up for it?, I've gone this far, and right now I think I'm in better shape than you., A simple yes or no would have done., Want me to lead?, Cute., ",cliffhanger,m300,1993,"['action', 'adventure', 'thriller']",neutral
38308,38308,L140289,"There was a car here, you can see where the glass came down all around it.  Ivan flew out the window and went bam., He could'a been depressed.  It still doesn't tell me homicide., ",collateral,m302,2004,"['crime', 'drama', 'thriller']",neutral
38940,38940,L145769,"Maybe., You always throw the best dinner parties, Letty., ",crazy love,m308,2007/I,['documentary'],neutral
39096,39096,L146940,"Oh Frankie, what's this I hear about your brother?, He missed three weeks., Your own brother? You couldn't send someone else to do it?, I did. Joey ""Two Tons"" and Nicky ""The Rake"" did the deed., But you were there?, Angelo, we live and die by the rules we make. We are men of honor, but honor without respect is a... horse-less carriage., ",crime spree,m309,2003,"['action', 'comedy', 'crime']",neutral
43721,43721,L205605,"So you're goin' to the Gophers on Sunday?, You bet., You wouldn't have an extra ticket there?, They're playin' the Buckeyes!, Yah., Ya kiddin'!, ",fargo,m347,1996,"['crime', 'drama', 'thriller']",neutral
43845,43845,L212362,"That's your favorite, too?  Tried to slip it by me, eh?, We'll split it.  You get it the first and third Sunday of the month., Deal., ",fight club,m348,1999,"['crime', 'drama', 'mystery', 'thriller']",neutral
44246,44246,L217992,"Okay... twenty dollars... When can you..., Tonight!  How's tonight?, ",the fisher king,m352,1991,"['comedy', 'drama', 'romance']",neutral
45639,45639,L235295,"Gerald phoned us in the middle of the night, said he'd heard you've been making a nuisance of yourself., We've got to take you back to London., He said it'd be doing him a big favour., ",get carter,m367,2000,"['action', 'crime', 'drama', 'thriller']",neutral
46269,46269,L248351,"Right. Great car. One of a kind. I was looking forward to that boost myself, She was the only ""Annie"" you could find?, They only made a handful. We're lucky there's even one living in the area..., Yeah, well ... She lives with District Court Judge Seymour Croft ..., ",gone in sixty seconds,m371,2000,"['action', 'crime', 'thriller']",neutral
48644,48644,L291381,"What is it??, Something with the power, I don't know!!, ",house on haunted hill,m391,1999,"['horror', 'mystery', 'thriller']",neutral
49324,49324,L306089,"Where is she? Where's Claudia?, Follow me - that way - through my cell -, ",interview with the vampire: the vampire chronicles,m399,1994,"['drama', 'fantasy']",neutral
50378,50378,L326142,".. feel like I'm getting close to this guy .. and all the time, feel like I'm sharpening a pencil with a broken load .. I'm sorry, King J .., What are you looking for?, Vehicle references., Wrong cabinet., ",jennifer eight,m407,1992,"['thriller', 'mystery']",neutral
51608,51608,L341771,"You're playing a piano, Miss Starling?, That wasn't me., Oh., ",the silence of the lambs,m419,1991,"['crime', 'thriller']",neutral
51921,51921,L352385,"That should take care of that lot. We are now officially in the money- loaning business, all right, son?, All right, Dad., Well, put your seatbelt on then., ","lock, stock and two smoking barrels",m422,1998,"['crime', 'thriller']",neutral
54435,54435,L388710,"Jack's pinned down Sarah.  Should be a second.  Keep dancing., We were forced to tie him to my best stallion and drag him around the barn a few times., ",mission: impossible,m443,1996,"['action', 'adventure', 'thriller']",neutral
55119,55119,L403816,"She's beautiful., We performed on the beach one summer...ha...everything went wrong., ",my girl 2,m450,1994,"['comedy', 'drama', 'family', 'romance']",neutral
56008,56008,L411340,"Gus?, No, it's the Great and Powerful Oz. Now listen--you're in over your head. This is how it's gonna work. I review the tapes, I find your story., What if I say no?, I bet Good Housekeeping would go gaga over the cole slaw piece., ",never been kissed,m458,1999,"['comedy', 'drama', 'romance']",neutral
56226,56226,L417369,"Who is he?, Freddy Krueger.  He was a child murderer before he died.  After he died, he became ...something worse.  Six years ago Freddy killed my friends. He almost killed me.  I thought I got rid of him -- but I guess he was too strong., ",a nightmare on elm street 3: dream warriors,m461,1987,"['fantasy', 'horror', 'thriller']",neutral
56645,56645,L430726,"What?..., What are you doing here?, We were hungry., ",only you,m464,1994,"['comedy', 'romance']",neutral
59757,59757,L472695,"What's going on?, I just wanted to see something., See what?, ",ronin,m494,1998,"['action', 'crime', 'thriller']",neutral
59975,59975,L478657,"Stevie, how's it going my man?  Somebody get a picture, we can use it for a mug shot., Detective Carter, you always seem to show up where you don't belong., Lemme ask you something, Steven.  And I want the truth.  Is there any way I can date your daughter?  Just dinner and a movie, maybe go listen to some jazz..., Vegas has been my town for 30 years.  I crawled out from under the first rock. Do you really think you can intimidate me here?, You're right, you're a smart guy.  Most counterfeiters only get ten cents on the dollar.  But this is an even swap.  Pure genius., You play games with me, Detective, and you'll lose every time.  Don't forget. The odds are always in favor of the house., ",rush hour 2,m496,2001,"['action', 'comedy', 'crime', 'thriller']",neutral
61062,61062,L487991,"What do you want from me?, It's what you want from me., ",scream 2,m505,1997,"['horror', 'mystery', 'thriller']",neutral
63422,63422,L523786,"How was your sister after you pulled her out of the water?, She was dirty and wet..., ",sounder,m524,1972,['drama'],neutral
65896,65896,L557292,"Whatcha wanna stop here for?  Not that I ain't glad to be on the ground, y'understand., Just a second., ",superman iii,m541,1983,"['action', 'adventure', 'comedy', 'fantasy', 'sci-fi']",neutral
67354,67354,L578900,"Truman, I took the ""hypocrite"" oath!, I bet you did., ",the truman show,m555,1998,['drama'],neutral
67564,67564,L585466,"...quarrel?, If you want to sell your service, I'm not willing to be the price... I loved him. You loved him. What good have we done him. Look at yourself, they have names for faces like that., ",the third man,m558,1949,"['film-noir', 'mystery', 'thriller']",neutral
68056,68056,L593890,"Let's let your tuchus breathe., Mom, why don't you put that cat out of its misery?, ",the hebrew hammer,m562,2003,['comedy'],neutral
68775,68775,L602455,"How are you?, Another young man., It's the same one., ",the thin man,m569,1934,"['comedy', 'crime', 'drama', 'mystery', 'romance']",neutral
69566,69566,L615883,"Have the purser give you twenty-five hundred dollars for this check--and bring the cash here., Yes, Mr. Brett--right away., ",transatlantic merry-go-round,m575,1934,"['comedy', 'musical', 'mystery', 'romance']",neutral
69738,69738,L617326,"You know, we might just pull this off., Not so sure.  Somethin' tells me It gets harder from here in.  Should've held out for more money., ",tombstone,m576,1993,"['action', 'drama', 'history', 'romance', 'western']",neutral
70258,70258,L622522,"Move 'em to Texas, fry 'em up., We got you on tape making the deal. We got you bragging about the quality. We got you bragging about your business.  We got you., ",traffic,m581,2000,"['crime', 'drama', 'thriller']",neutral
70559,70559,L625741,"What is it?, Power surge... the transmission beam's too strong!, We have to get off this beam!, I can't. There's no junction due for at least 7 or 8 nanoseconds!, ",tron,m584,1982,"['action', 'adventure', 'sci-fi', 'thriller', 'sci-fi']",neutral
70675,70675,L626980,"Hi honey.  What's going on?					*, Sorry to bother you in a meeting, but you have to promise me that				* you'll be home at eight.  I don't				* want Dana and I sitting here by ourselves like we were last year. You promise?, Baby, I said I'd be there. Really.  Trust me.  Gotta go, honey.  Bye bye., ",true lies,m585,1994,"['action', 'thriller']",neutral
71420,71420,L635732,"That was... the first one., First one what?, First one I ever killed., Yeah?, How I said I shot five men... it wasn't true.  That Mexican... the one that come at me with a knife... I busted his leg with a shovel... I didn't shoot him or nothin'., ",unforgiven,m591,1992,"['drama', 'western']",neutral
72153,72153,L642760,"You're wasting your time. I'm not going to play any more of your goddam games., Parker Barnes, I'd like you to meet Crime Czar Elizabeth Deane., It's too early in the morning for me to be cordial. You got any coffee?, ",virtuosity,m597,1995,"['action', 'crime', 'sci-fi', 'thriller']",neutral
73474,73474,L657435,"Talk!  Say something!, I can't see anything--she's too bright!, ",willow,m608,1988,"['action', 'adventure', 'drama', 'fantasy', 'romance']",neutral
